 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
663,433,6487.767,3403,9609,0.926,1.165,0.859,0.946
664,493,6102.008,3385,8521,0.901,1.187,0.843,0.941
665,276,5188.478,3440,7467,0.939,1.163,0.860,0.942
666,294,4961.156,3383,6477,0.897,1.091,0.916,0.927
667,282,4197.270,3395,5361,0.851,1.174,0.852,0.911
668,305,4731.098,3388,6222,0.897,1.104,0.905,0.931
669,392,3959.089,3382,5128,0.594,1.700,0.588,0.868
670,216,6641.870,3415,9802,0.933,1.182,0.846,0.929
671,317,4120.259,3384,5121,0.881,1.300,0.769,0.911
672,469,5129.719,3385,6659,0.933,1.142,0.876,0.951
673,426,7137.843,3389,10108,0.905,1.354,0.739,0.944
674,185,7582.659,3417,12443,0.919,1.333,0.750,0.939
675,356,4186.520,3387,5357,0.820,1.436,0.696,0.921
676,151,9155.881,3415,17202,0.855,1.645,0.608,0.910
677,248,3906.806,3390,4831,0.645,1.309,0.764,0.848
678,447,6473.980,3408,8969,0.908,1.138,0.879,0.942
679,285,4450.418,3395,5584,0.863,1.211,0.826,0.919
680,303,4429.026,3385,5453,0.885,1.255,0.797,0.925
681,304,4279.382,3387,5625,0.866,1.179,0.848,0.920
682,423,4737.071,3384,6165,0.831,1.286,0.777,0.920
683,347,6482.723,3459,8907,0.938,1.144,0.874,0.947
684,275,5291.225,3388,7456,0.918,1.078,0.927,0.931
685,318,4554.057,3382,6015,0.868,1.128,0.887,0.920
686,335,5579.251,3416,6994,0.875,1.179,0.848,0.938
687,375,4642.163,3382,6189,0.864,1.210,0.826,0.926
688,325,3932.397,3384,4926,0.712,1.181,0.847,0.858
689,303,4215.086,3389,5520,0.827,1.256,0.796,0.920
690,430,7317.474,3395,13172,0.575,2.575,0.388,0.838
691,372,5709.395,3395,8399,0.912,1.281,0.781,0.944
692,376,4249.934,3384,5830,0.775,1.214,0.824,0.903
693,430,5032.209,3414,6618,0.919,1.347,0.743,0.953
694,433,7235.245,3383,12928,0.866,1.176,0.850,0.935
695,320,4301.650,3392,5314,0.895,1.324,0.755,0.932
696,321,4107.050,3386,5656,0.855,1.160,0.862,0.916
697,370,4624.257,3382,6272,0.866,1.216,0.822,0.937
698,155,8949.477,3385,16613,0.847,1.682,0.594,0.906
699,415,5286.094,3384,7313,0.887,1.361,0.735,0.943
700,329,5873.188,3406,8388,0.868,1.100,0.909,0.922
701,309,4930.000,3387,6932,0.916,1.136,0.880,0.945
702,430,5684.428,3396,7389,0.886,1.299,0.770,0.942
703,303,4586.809,3391,5797,0.848,1.416,0.706,0.918
704,347,6274.300,3408,8923,0.879,1.245,0.803,0.928
705,281,4696.502,3405,6199,0.903,1.197,0.836,0.940
706,248,5448.488,3393,7300,0.947,1.194,0.838,0.941
707,429,6993.953,3395,10436,0.884,1.330,0.752,0.940
708,365,4931.677,3390,6278,0.895,1.253,0.798,0.934
709,317,4160.274,3382,5582,0.686,1.282,0.780,0.885
710,291,4254.076,3385,5355,0.775,1.152,0.868,0.905
711,289,3843.228,3384,4619,0.647,1.452,0.689,0.863
712,276,5157.562,3401,7228,0.939,1.170,0.855,0.939
713,316,5892.991,3389,8009,0.900,1.106,0.904,0.927
714,319,4269.925,3384,5416,0.893,1.353,0.739,0.945
715,318,4483.396,3385,5658,0.875,1.192,0.839,0.933
716,417,5969.571,3444,8602,0.878,1.202,0.832,0.934
717,300,4831.330,3390,6812,0.876,1.175,0.851,0.929
718,306,4220.042,3392,5364,0.863,1.366,0.732,0.929
719,324,4384.852,3382,5373,0.802,1.225,0.816,0.918
720,490,6267.080,3422,8555,0.919,1.151,0.869,0.951
721,318,4012.346,3383,5224,0.819,1.205,0.830,0.907
722,458,6345.581,3389,8813,0.766,1.704,0.587,0.894
723,319,4157.602,3389,5722,0.771,1.161,0.862,0.901
724,296,4459.669,3399,5685,0.887,1.415,0.707,0.934
725,242,5784.463,3393,8068,0.932,1.081,0.925,0.938
726,324,4408.880,3382,5411,0.913,1.208,0.828,0.942
727,295,4789.942,3401,6984,0.840,1.408,0.710,0.919
728,420,6840.829,3392,12306,0.909,1.322,0.756,0.952
729,464,6636.892,3429,9535,0.915,1.125,0.889,0.951
730,269,4605.606,3396,5988,0.842,1.334,0.749,0.920
731,319,5824.890,3382,8194,0.922,1.141,0.877,0.947
732,461,6089.512,3415,7936,0.901,1.209,0.827,0.952
733,407,4905.865,3413,6632,0.889,1.176,0.851,0.937
734,310,3905.026,3388,4693,0.549,1.108,0.902,0.854
735,320,4427.172,3390,5637,0.895,1.239,0.807,0.930
736,325,4336.009,3387,5634,0.846,1.329,0.753,0.921
737,460,4818.165,3384,6570,0.896,1.057,0.946,0.931
738,254,5683.224,3393,7791,0.906,1.172,0.853,0.934
739,309,4525.379,3384,5987,0.902,1.056,0.947,0.928
740,305,4280.184,3396,5565,0.847,1.121,0.892,0.938
741,308,4495.318,3400,5824,0.884,1.142,0.876,0.922
742,318,4215.613,3394,5283,0.853,1.396,0.716,0.931
743,307,4789.909,3388,6040,0.903,1.042,0.959,0.933
744,321,5781.757,3417,8066,0.937,1.077,0.929,0.944
745,328,4270.573,3386,5652,0.812,1.171,0.854,0.914
746,310,5123.423,3392,7267,0.889,1.471,0.680,0.945
747,283,4861.989,3408,6228,0.910,1.063,0.941,0.945
748,354,4692.554,3383,6464,0.897,1.279,0.782,0.934
749,303,4521.261,3385,5736,0.891,1.141,0.876,0.927
750,408,6414.765,3392,9140,0.940,1.235,0.809,0.954
751,286,5018.500,3388,6229,0.857,1.080,0.926,0.914
752,454,5949.681,3385,7883,0.906,1.104,0.905,0.955
753,294,4805.548,3388,6369,0.928,1.234,0.811,0.948
754,186,7789.188,3384,13545,0.886,1.285,0.778,0.905
755,288,4478.500,3390,5689,0.895,1.109,0.902,0.920
756,274,5018.142,3401,6535,0.951,1.193,0.838,0.943
757,362,4640.616,3391,6103,0.902,1.304,0.767,0.935
758,301,4587.983,3387,5659,0.879,1.303,0.768,0.926
759,327,4867.872,3398,6241,0.928,1.110,0.901,0.952
760,323,4222.099,3384,5108,0.882,1.267,0.789,0.929
761,352,4702.051,3400,6068,0.857,1.367,0.732,0.940
762,331,4357.870,3400,5640,0.859,1.010,0.990,0.928
